workload,batch,records,start_min,start_max,launch_offset_mean,launch_offset_p25,launch_offset_p50,launch_offset_p75,launch_offset_p95,launch_offset_p99,gap_mean,gap_p95,launch_offset_iqr,launch_offset_tail_amp
compute,8,4096,1772979030415684608,1772979030465607680,255.0,0.0,0.0,0.0,1024.0,1024.0,12188.25,0.0,0.0,0
compute,16,8192,1772979037305914368,1772979037357644800,44294.5,0.0,0.0,43776.0,178176.0,179200.0,6314.75,0.0,43776.0,0
compute,32,16384,1772979044243755008,1772979044299949056,202493.375,0.0,179200.0,351232.0,542720.0,545792.0,3429.8125,0.0,351232.0,3.045714285714286
compute,64,32768,1772979051147282432,1772979051219317760,584576.46875,179200.0,570880.0,959744.0,1284096.0,1340416.0,2198.34375,0.0,780544.0,2.347982062780269
compute,128,65536,1772979884289218560,1772979884399432704,2055547.40625,583168.0,1369088.0,4765696.0,5329920.0,5464064.0,1681.734375,0.0,4182528.0,3.9910246821241584
memory,8,4096,1772979057948889088,1772979057997861888,210.5,0.0,0.0,0.0,1024.0,1024.0,11956.25,0.0,0.0,0
memory,16,8192,1772979064615588864,1772979064663844864,337.875,0.0,0.0,1024.0,1024.0,1024.0,5890.625,0.0,1024.0,0
memory,32,16384,1772979071388327936,1772979071436626944,940.875,0.0,1024.0,2048.0,2048.0,3072.0,2947.9375,0.0,2048.0,3.0
memory,64,32768,1772979078012247040,1772979078065654784,2554.75,1024.0,2048.0,4096.0,5120.0,6144.0,1629.875,0.0,3072.0,3.0
memory,128,65536,1772979891268535296,1772979891333681152,5497.21875,2048.0,5120.0,8192.0,11264.0,11264.0,994.046875,0.0,6144.0,2.2
mixed,8,4096,1772979084718515200,1772979084767013888,54.25,0.0,0.0,0.0,1024.0,1024.0,11840.5,0.0,0.0,0
mixed,16,8192,1772979091513896960,1772979091562641408,7463.5,0.0,0.0,7680.0,30720.0,31744.0,5950.25,0.0,7680.0,0
mixed,32,16384,1772979098415893504,1772979098467040256,28910.625,0.0,31744.0,44800.0,68608.0,69632.0,3121.75,0.0,44800.0,2.193548387096774
mixed,64,32768,1772979105595653120,1772979105658315776,72986.25,31744.0,69632.0,115968.0,152576.0,161792.0,1912.3125,0.0,84224.0,2.323529411764706
mixed,128,65536,1772979898275503104,1772979898343448576,159749.09375,69632.0,162816.0,245760.0,315392.0,329728.0,1036.765625,0.0,176128.0,2.0251572327044025
sparse,8,4096,1772979112521980928,1772979112570490880,138.25,0.0,0.0,0.0,1024.0,1024.0,11843.25,0.0,0.0,0
sparse,16,8192,1772979119247774720,1772979119296075776,756.625,0.0,0.0,1280.0,3072.0,3072.0,5896.125,0.0,1280.0,0
sparse,32,16384,1772979126059970560,1772979126110361600,2002.375,0.0,2048.0,3072.0,4096.0,5120.0,3075.625,0.0,3072.0,2.5
sparse,64,32768,1772979133090614272,1772979133140647936,4888.6875,3072.0,5120.0,7168.0,9216.0,10240.0,1526.90625,0.0,4096.0,2.0
sparse,128,65536,1772979905353211904,1772979905418506240,9391.671875,5120.0,9216.0,14336.0,17408.0,18432.0,996.3125,0.0,9216.0,2.0
vgg16,8,3840,1772979139961208832,1772979140504873984,78.66666666666667,0.0,0.0,0.0,1024.0,1024.0,141579.46666666667,0.0,0.0,0
vgg16,16,7680,1772979147364275200,1772979147918747648,20798.0,0.0,0.0,0.0,230400.0,231424.0,72196.93333333333,0.0,0.0,0
vgg16,32,15360,1772979154597955584,1772979155153273856,74894.2,0.0,16384.0,65536.0,458752.0,488448.0,36153.53333333333,0.0,65536.0,29.8125
vgg16,64,30720,1772979161832179712,1772979162290654208,177215.03333333333,12288.0,56320.0,211968.0,851916.7999999858,1046528.0,14924.3,0.0,199680.0,18.581818181818182
vgg16,128,61440,1772979912259673088,1772979912822858752,496568.31666666665,49152.0,136192.0,490496.0,1919231.9999999776,4828160.0,9166.433333333332,0.0,441344.0,35.45112781954887
