workload,batch,sm,block_count,elapsed_sum
compute,8,0,32,15994318
compute,8,1,32,16039666
compute,8,2,32,15851566
compute,8,3,32,16059800
compute,8,4,32,15832789
compute,8,5,32,16015593
compute,8,6,32,15819455
compute,8,7,32,15997324
compute,8,8,32,15953973
compute,8,9,32,16042618
compute,8,10,32,15962121
compute,8,11,32,16059488
compute,8,12,32,15910573
compute,8,13,32,16090163
compute,8,14,32,15949026
compute,8,15,32,15989460
compute,8,16,32,15830257
compute,8,17,32,15920782
compute,8,18,32,15815915
compute,8,19,32,15893204
compute,8,20,32,15861757
compute,8,21,32,15968421
compute,8,22,32,16041037
compute,8,23,32,15943364
compute,8,24,32,15928971
compute,8,25,32,15843865
compute,8,26,32,15846145
compute,8,27,32,15851118
compute,8,28,32,15966595
compute,8,29,32,15772031
compute,8,30,32,16104159
compute,8,31,32,15786060
compute,8,32,32,16137910
compute,8,33,32,15966182
compute,8,34,32,16188005
compute,8,35,32,15904466
compute,8,36,32,16150236
compute,8,37,32,15904628
compute,8,38,32,16065927
compute,8,39,32,15842022
compute,8,40,32,15965539
compute,8,41,32,15768222
compute,8,42,32,16005276
compute,8,43,32,15919438
compute,8,44,32,15873279
compute,8,45,32,15911623
compute,8,46,32,15818195
compute,8,47,32,15764700
compute,8,48,32,15763259
compute,8,49,32,15830482
compute,8,50,32,15937224
compute,8,51,32,15773736
compute,8,52,32,15883748
compute,8,53,32,15782554
compute,8,54,32,15873314
compute,8,55,32,15956487
compute,8,56,32,15914457
compute,8,57,32,15955443
compute,8,58,32,15868144
compute,8,59,32,15867967
compute,8,60,32,15797940
compute,8,61,32,15860594
compute,8,62,32,15819857
compute,8,63,32,15803214
compute,8,64,32,16009058
compute,8,65,32,16011862
compute,8,66,32,15982521
compute,8,67,32,16077791
compute,8,68,32,15925308
compute,8,69,32,16064066
compute,8,70,32,15886307
compute,8,71,32,16055542
compute,8,72,32,16097777
compute,8,73,32,16047361
compute,8,74,32,16090195
compute,8,75,32,16053824
compute,8,76,32,16175717
compute,8,77,32,16092968
compute,8,78,32,16200632
compute,8,79,32,16013803
compute,8,80,32,16098615
compute,8,81,32,15961003
compute,8,82,32,15973829
compute,8,83,32,15910695
compute,8,84,32,15973446
compute,8,85,32,15876737
compute,8,86,32,16002960
compute,8,87,32,16015958
compute,8,88,32,15911108
compute,8,89,32,15972560
compute,8,90,32,15902848
compute,8,91,32,15944955
compute,8,92,32,15894138
compute,8,93,32,15889112
compute,8,94,32,15846961
compute,8,95,32,15839185
compute,8,96,32,15988788
compute,8,97,32,15829531
compute,8,98,32,15987312
compute,8,99,32,15982933
compute,8,100,32,16010035
compute,8,101,32,15914436
compute,8,102,32,15938763
compute,8,103,32,15886518
compute,8,104,32,15915085
compute,8,105,32,15904614
compute,8,106,32,15990662
compute,8,107,32,15921439
compute,8,108,32,15994441
compute,8,109,32,16037989
compute,8,110,32,15890213
compute,8,111,32,16067765
compute,8,112,32,15903299
compute,8,113,32,15982999
compute,8,114,32,15858052
compute,8,115,32,15903392
compute,8,116,32,15911408
compute,8,117,32,15940586
compute,8,118,32,16006683
compute,8,119,32,15945346
compute,8,120,32,15965991
compute,8,121,32,15854624
compute,8,122,32,15951897
compute,8,123,32,15950991
compute,8,124,32,15893202
compute,8,125,32,15826906
compute,8,126,32,15860944
compute,8,127,32,15848870
compute,16,0,53,32533203
compute,16,1,53,32497353
compute,16,2,64,39345981
compute,16,3,64,39281960
compute,16,4,70,43736060
compute,16,5,71,44448497
compute,16,6,68,42524105
compute,16,7,68,42450210
compute,16,8,61,37690974
compute,16,9,61,37624741
compute,16,10,48,29337170
compute,16,11,48,29288562
compute,16,12,54,32849198
compute,16,13,54,32774210
compute,16,14,64,39449952
compute,16,15,64,39423108
compute,16,16,70,43908967
compute,16,17,70,43861601
compute,16,18,71,44418118
compute,16,19,71,44350087
