workload,batch,trace_id,kernel_run_id,sm,block_count,sched_event_count,sched_cycles_total,sched_mean_cycles,sched_p95_cycles,sched_max_cycles,work_cycles_total,block_elapsed_mean_cycles,block_elapsed_p95_cycles,inferred_slot_count
compute,8,Mar08_221120_1837392,2.229752,0,4,0,0,0.0,0.0,0,2001417,500354.25,589723.8999999999,4
compute,8,Mar08_221120_1837392,2.229752,1,4,0,0,0.0,0.0,0,2003051,500762.75,588410.1499999999,4
compute,8,Mar08_221120_1837392,2.229752,2,4,0,0,0.0,0.0,0,1988479,497119.75,594036.6,4
compute,8,Mar08_221120_1837392,2.229752,3,4,0,0,0.0,0.0,0,2010047,502511.75,588919.85,4
compute,8,Mar08_221120_1837392,2.229752,4,4,0,0,0.0,0.0,0,1984008,496002.0,589044.0499999999,4
compute,8,Mar08_221120_1837392,2.229752,5,4,0,0,0.0,0.0,0,2005294,501323.5,588567.95,4
compute,8,Mar08_221120_1837392,2.229752,6,4,0,0,0.0,0.0,0,1977871,494467.75,588834.1,4
compute,8,Mar08_221120_1837392,2.229752,7,4,0,0,0.0,0.0,0,2001932,500483.0,588202.2999999999,4
compute,8,Mar08_221120_1837392,2.229752,8,4,0,0,0.0,0.0,0,2001055,500263.75,594577.2,4
compute,8,Mar08_221120_1837392,2.229752,9,4,0,0,0.0,0.0,0,2003046,500761.5,588379.1499999999,4
compute,8,Mar08_221120_1837392,2.229752,10,4,0,0,0.0,0.0,0,2000715,500178.75,593315.5,4
compute,8,Mar08_221120_1837392,2.229752,11,4,0,0,0.0,0.0,0,2010699,502674.75,589442.2,4
compute,8,Mar08_221120_1837392,2.229752,12,4,0,0,0.0,0.0,0,1988878,497219.5,597284.5499999999,4
compute,8,Mar08_221120_1837392,2.229752,13,4,0,0,0.0,0.0,0,2013429,503357.25,589741.1,4
compute,8,Mar08_221120_1837392,2.229752,14,4,0,0,0.0,0.0,0,1996921,499230.25,590720.1,4
compute,8,Mar08_221120_1837392,2.229752,15,4,0,0,0.0,0.0,0,1996576,499144.0,588588.6,4
compute,8,Mar08_221120_1837392,2.229752,16,4,0,0,0.0,0.0,0,1975618,493904.5,589047.95,4
compute,8,Mar08_221120_1837392,2.229752,17,4,0,0,0.0,0.0,0,1984838,496209.5,587702.45,4
compute,8,Mar08_221120_1837392,2.229752,18,4,0,0,0.0,0.0,0,1978121,494530.25,589263.75,4
compute,8,Mar08_221120_1837392,2.229752,19,4,0,0,0.0,0.0,0,1983707,495926.75,587364.6,4
compute,8,Mar08_221120_1837392,2.229752,20,4,0,0,0.0,0.0,0,1979146,494786.5,589169.6,4
compute,8,Mar08_221120_1837392,2.229752,21,4,0,0,0.0,0.0,0,1993710,498427.5,588810.25,4
compute,8,Mar08_221120_1837392,2.229752,22,4,0,0,0.0,0.0,0,2003593,500898.25,591245.1,4
compute,8,Mar08_221120_1837392,2.229752,23,4,0,0,0.0,0.0,0,1997278,499319.5,588142.8999999999,4
compute,8,Mar08_221120_1837392,2.229752,24,4,0,0,0.0,0.0,0,1993318,498329.5,589323.2999999999,4
compute,8,Mar08_221120_1837392,2.229752,25,4,0,0,0.0,0.0,0,1984594,496148.5,587133.75,4
compute,8,Mar08_221120_1837392,2.229752,26,4,0,0,0.0,0.0,0,1983903,495975.75,589150.35,4
compute,8,Mar08_221120_1837392,2.229752,27,4,0,0,0.0,0.0,0,1987449,496862.25,587124.3999999999,4
compute,8,Mar08_221120_1837392,2.229752,28,4,0,0,0.0,0.0,0,1993199,498299.75,588979.0499999999,4
compute,8,Mar08_221120_1837392,2.229752,29,4,0,0,0.0,0.0,0,1975172,493793.0,586482.35,4
compute,8,Mar08_221120_1837392,2.229752,30,4,0,0,0.0,0.0,0,2014791,503697.75,590803.0499999999,4
compute,8,Mar08_221120_1837392,2.229752,31,4,0,0,0.0,0.0,0,1973691,493422.75,586872.0499999999,4
compute,8,Mar08_221120_1837392,2.229752,32,4,0,0,0.0,0.0,0,2019599,504899.75,591269.8999999999,4
compute,8,Mar08_221120_1837392,2.229752,33,4,0,0,0.0,0.0,0,2000367,500091.75,588105.2999999999,4
compute,8,Mar08_221120_1837392,2.229752,34,4,0,0,0.0,0.0,0,2019248,504812.0,591828.85,4
compute,8,Mar08_221120_1837392,2.229752,35,4,0,0,0.0,0.0,0,1990818,497704.5,588004.6499999999,4
compute,8,Mar08_221120_1837392,2.229752,36,4,0,0,0.0,0.0,0,2020150,505037.5,590194.3999999999,4
compute,8,Mar08_221120_1837392,2.229752,37,4,0,0,0.0,0.0,0,1993859,498464.75,587471.7999999999,4
compute,8,Mar08_221120_1837392,2.229752,38,4,0,0,0.0,0.0,0,2004454,501113.5,590473.85,4
compute,8,Mar08_221120_1837392,2.229752,39,4,0,0,0.0,0.0,0,1982293,495573.25,587524.0,4
compute,8,Mar08_221120_1837392,2.229752,40,4,0,0,0.0,0.0,0,1991129,497782.25,588862.8999999999,4
compute,8,Mar08_221120_1837392,2.229752,41,4,0,0,0.0,0.0,0,1962815,490703.75,586048.1,4
compute,8,Mar08_221120_1837392,2.229752,42,4,0,0,0.0,0.0,0,2001094,500273.5,590157.7,4
compute,8,Mar08_221120_1837392,2.229752,43,4,0,0,0.0,0.0,0,1996900,499225.0,588551.6,4
compute,8,Mar08_221120_1837392,2.229752,44,4,0,0,0.0,0.0,0,1987623,496905.75,589309.0,4
compute,8,Mar08_221120_1837392,2.229752,45,4,0,0,0.0,0.0,0,1991417,497854.25,587803.7,4
compute,8,Mar08_221120_1837392,2.229752,46,4,0,0,0.0,0.0,0,1983977,495994.25,588830.5,4
compute,8,Mar08_221120_1837392,2.229752,47,4,0,0,0.0,0.0,0,1971325,492831.25,586889.95,4
compute,8,Mar08_221120_1837392,2.229752,48,4,0,0,0.0,0.0,0,1969605,492401.25,587538.6,4
compute,8,Mar08_221120_1837392,2.229752,49,4,0,0,0.0,0.0,0,1978251,494562.75,587086.6499999999,4
compute,8,Mar08_221120_1837392,2.229752,50,4,0,0,0.0,0.0,0,1995938,498984.5,588549.75,4
compute,8,Mar08_221120_1837392,2.229752,51,4,0,0,0.0,0.0,0,1972576,493144.0,585797.1499999999,4
